MDS1,MDS2,Cluster
-392565.7875911471,1434054.585173244,3
-27573.49416271146,290615.67280993285,3
59716.491257268135,-456262.67779142066,3
60776.403907203,793044.8005234386,1
12808.705317821765,-278799.06218421296,2
-32318.872665541447,1227360.3867106554,1
34669.72942336182,-385852.41609998624,3
-283086.8727532595,974123.6951548611,2
56327.590715945684,-450290.00468717935,3
-246334.56224363585,826577.1964311547,3
48795.62944232968,-199640.68026197262,3
-131452.41136218523,500200.69262726436,3
-96839.21431347948,319355.47837493004,3
90698.25077549707,-391250.4310333416,3
87780.79313368014,-622257.118567981,2
77821.61219303703,-460947.94561374834,3
149785.6323727844,-672558.1737450474,3
-190991.48998275955,702076.7068585472,3
69162.02261592878,-458750.4496581218,3
118035.78565391,-422415.04551363626,3
-51295.15790821626,-12317.011016349315,2
-91631.06948285084,978290.8401760841,3
-42825.40122837936,36940.412715016406,3
100810.17900921326,-268364.65145784424,3
70051.55564199435,-558744.6079268428,2
72689.47365138981,-469893.96197374474,0
-61256.046453671916,445361.56982320343,3
-170731.6853338276,576221.1842582333,3
-77718.7060906283,875399.2865789444,3
85123.66738900916,-507206.4196790679,0
50426.57734388392,-376542.4342161688,2
33256.647467409806,-393292.5478823248,2
133715.45922720252,-636483.206658448,0
108542.92865500513,-674972.3774680924,0
91991.77701888555,-463415.8151685726,0
30469.148655974535,-208283.26093326934,0
-59823.99401820862,76776.63100084488,0
50272.62360865669,-450420.0091236785,2
67242.96127687137,-496579.54602065554,0
-108142.23570742832,617499.1933392338,0
92724.36481560128,-643468.2878392475,2
63413.90161951746,-280528.43335876206,0
7807.9198011166545,-180726.50412786435,0
102539.66347631528,-522114.01785619743,0
-107361.19824644334,249131.59557324345,0
155248.22691302537,-72054.79823908261,0
108535.15689170986,-691714.6779336622,0
122102.03981256769,-756136.5572362129,2
81882.42967646393,-588443.2236500437,0
109060.9429599862,-400461.1274655022,0
-54057.728440871346,44601.332717216595,0
111042.04706194825,-513669.044585796,0
86852.82426973862,-545737.4155878598,0
113448.43536522822,-701893.1450058889,0
34001.87387047592,-94849.80992766639,0
97502.37273333258,-645415.2405798242,0
-195504.0329133741,765193.9559445494,0
102132.92789181745,-690724.0642431556,2
111703.25165959996,-625139.3678310671,0
-9395.954646120777,-174616.51373884524,0
109815.15222303676,-682129.1883634436,0
116584.06956115425,-736763.4156090827,0
95098.54314624754,-645137.8603959442,0
62300.27534296033,-449996.68577215873,2
123765.0487407451,-634216.7221024239,0
59244.385475173294,-468520.7321477252,2
