Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Genres,Stream_type,Cluster
8.7,50.0,17,2269727,7.96,825.0,4742.0,4078.0,"Action,Drama,Sci-Fi",TV ,3
8.95,16.0,127,1072687,8.63,78.0,144.0,93866.0,"Action,Comedy,Sci-Fi",TV ,3
9.03,11.0,700,325595,8.59,96.0,1965.0,9716.0,"Drama,Sci-Fi",OVA ,3
8.73,43.0,102,1541813,9.06,7.0,19.0,294903.0,"Action,Adventure,Drama",TV ,1
8.54,95.0,416,509120,7.29,4883.0,5169.0,3721.0,"Adventure,Comedy,Drama",TV ,2
8.54,96.0,39,1985378,8.16,475.0,17.0,304609.0,"Mystery,Sci-Fi,Suspense",TV ,1
8.43,148.0,504,399807,7.77,1393.0,7344.0,2493.0,"Action,Sci-Fi",TV ,3
8.91,20.0,47,1796432,7.58,2340.0,13812.0,1074.0,"Action,Drama,Sci-Fi",TV ,2
8.43,149.0,710,332149,7.68,1765.0,2475.0,7940.0,"Fantasy,Horror,Mystery,Supernatural",TV ,3
8.35,198.0,55,1644298,7.66,1858.0,8044.0,2226.0,"Action,Sci-Fi,Suspense",TV ,3
8.35,195.0,387,577772,8.53,119.0,260.0,59618.0,"Boys Love,Drama,Romance,Slice of Life",TV ,3
8.36,193.0,90,1300264,8.08,613.0,428.0,38754.0,"Drama,Suspense",TV ,3
8.43,150.0,138,1116165,8.3,305.0,528.0,32046.0,"Comedy,Supernatural",TV ,3
8.37,187.0,575,381629,8.82,30.0,277.0,57071.0,"Adventure,Fantasy",Movie ,3
8.37,188.0,2262,157538,7.61,2183.0,8851.0,1964.0,"Comedy,Slice of Life",ONA ,2
8.28,249.0,662,316867,8.41,201.0,644.0,26912.0,"Comedy,Drama,Romance,Slice of Life",TV ,3
8.29,245.0,2072,94181,8.94,15.0,309.0,51006.0,"Action,Drama,Slice of Life,Sports",TV ,3
8.29,246.0,68,1510444,8.51,138.0,641.0,27047.0,"Action,Fantasy,Supernatural",TV ,3
8.3,244.0,719,321008,8.68,55.0,954.0,18503.0,"Action,Adventure,Slice of Life",TV ,3
8.3,239.0,633,344988,8.69,52.0,193.0,77258.0,"Comedy,Drama,Slice of Life",TV ,3
8.31,234.0,217,782551,7.9,994.0,12062.0,1297.0,"Drama,Horror,Mystery,Sci-Fi,Supernatural",TV ,2
