MDS1,MDS2,Genres,Stream_type,Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members
-392565.7875911471,1434054.585173244,Action,TV ,8.7,50.0,17,2269727,7.96,825.0,4742.0,4078.0
-27573.49416271146,290615.67280993285,Action,TV ,8.95,16.0,127,1072687,8.63,78.0,144.0,93866.0
59716.491257268135,-456262.67779142066,Drama,OVA ,9.03,11.0,700,325595,8.59,96.0,1965.0,9716.0
60776.403907203,793044.8005234386,Action,TV ,8.73,43.0,102,1541813,9.06,7.0,19.0,294903.0
12808.705317821765,-278799.06218421296,Adventure,TV ,8.54,95.0,416,509120,7.29,4883.0,5169.0,3721.0
-32318.872665541447,1227360.3867106554,Mystery,TV ,8.54,96.0,39,1985378,8.16,475.0,17.0,304609.0
34669.72942336182,-385852.41609998624,Action,TV ,8.43,148.0,504,399807,7.77,1393.0,7344.0,2493.0
-283086.8727532595,974123.6951548611,Action,TV ,8.91,20.0,47,1796432,7.58,2340.0,13812.0,1074.0
56327.590715945684,-450290.00468717935,Fantasy,TV ,8.43,149.0,710,332149,7.68,1765.0,2475.0,7940.0
-246334.56224363585,826577.1964311547,Action,TV ,8.35,198.0,55,1644298,7.66,1858.0,8044.0,2226.0
48795.62944232968,-199640.68026197262,Other,TV ,8.35,195.0,387,577772,8.53,119.0,260.0,59618.0
-131452.41136218523,500200.69262726436,Drama,TV ,8.36,193.0,90,1300264,8.08,613.0,428.0,38754.0
-96839.21431347948,319355.47837493004,Comedy,TV ,8.43,150.0,138,1116165,8.3,305.0,528.0,32046.0
90698.25077549707,-391250.4310333416,Adventure,Movie ,8.37,187.0,575,381629,8.82,30.0,277.0,57071.0
87780.79313368014,-622257.118567981,Comedy,ONA ,8.37,188.0,2262,157538,7.61,2183.0,8851.0,1964.0
77821.61219303703,-460947.94561374834,Comedy,TV ,8.28,249.0,662,316867,8.41,201.0,644.0,26912.0
149785.6323727844,-672558.1737450474,Action,TV ,8.29,245.0,2072,94181,8.94,15.0,309.0,51006.0
-190991.48998275955,702076.7068585472,Action,TV ,8.29,246.0,68,1510444,8.51,138.0,641.0,27047.0
69162.02261592878,-458750.4496581218,Action,TV ,8.3,244.0,719,321008,8.68,55.0,954.0,18503.0
118035.78565391,-422415.04551363626,Comedy,TV ,8.3,239.0,633,344988,8.69,52.0,193.0,77258.0
-51295.15790821626,-12317.011016349315,Drama,TV ,8.31,234.0,217,782551,7.9,994.0,12062.0,1297.0
-91631.06948285084,978290.8401760841,Adventure,TV ,8.3,242.0,60,1756985,8.2,418.0,39.0,187097.0
-42825.40122837936,36940.412715016406,Drama,Movie ,8.31,228.0,205,828742,8.06,638.0,861.0,20383.0
100810.17900921326,-268364.65145784424,Action,TV ,8.3,236.0,402,498765,8.56,104.0,139.0,96466.0
70051.55564199435,-558744.6079268428,Comedy,TV ,8.18,350.0,1021,223549,7.34,4257.0,16740.0,796.0
72689.47365138981,-469893.96197374474,Adventure,TV ,8.1,448.0,758,309369,8.01,721.0,912.0,19296.0
-61256.046453671916,445361.56982320343,Action,TV ,8.1,447.0,116,1231092,8.1,576.0,142.0,95117.0
-170731.6853338276,576221.1842582333,Mystery,TV ,8.1,446.0,87,1383194,8.07,615.0,977.0,18065.0
-77718.7060906283,875399.2865789444,Other,TV ,8.18,349.0,53,1653644,7.92,928.0,45.0,177182.0
85123.66738900916,-507206.4196790679,Comedy,TV ,8.02,546.0,801,270221,8.28,327.0,751.0,23138.0
50426.57734388392,-376542.4342161688,Adventure,OVA ,8.02,545.0,594,405267,7.04,8083.0,885.0,19932.0
33256.647467409806,-393292.5478823248,Comedy,Movie ,7.94,645.0,560,392801,7.55,2540.0,14382.0,1012.0
133715.45922720252,-636483.206658448,Action,TV ,7.97,599.0,1526,133003,8.11,555.0,373.0,43484.0
108542.92865500513,-674972.3774680924,Comedy,TV ,7.91,697.0,1814,101397,8.17,455.0,1980.0,9635.0
91991.77701888555,-463415.8151685726,Drama,TV ,7.91,695.0,819,311185,8.69,53.0,401.0,41142.0
30469.148655974535,-208283.26093326934,Action,TV ,7.91,689.0,359,573648,7.8,1297.0,436.0,38166.0
-59823.99401820862,76776.63100084488,Drama,Movie ,7.92,685.0,189,871341,7.63,2084.0,1472.0,13025.0
50272.62360865669,-450420.0091236785,Comedy,TV ,7.92,682.0,617,333330,7.31,4648.0,6524.0,2874.0
67242.96127687137,-496579.54602065554,Action,Movie ,7.91,688.0,905,284837,8.2,423.0,3293.0,6081.0
-108142.23570742832,617499.1933392338,Action,TV ,7.82,848.0,91,1409369,8.52,132.0,157.0,88304.0
92724.36481560128,-643468.2878392475,Fantasy,TV ,7.75,996.0,1500,135688,7.34,4280.0,7687.0,2350.0
63413.90161951746,-280528.43335876206,Comedy,TV ,7.74,997.0,516,495696,8.34,262.0,285.0,55546.0
7807.9198011166545,-180726.50412786435,Horror,TV ,7.75,991.0,329,605635,7.94,873.0,859.0,20531.0
102539.66347631528,-522114.01785619743,Slice of Life,TV ,7.75,990.0,1155,251548,8.37,233.0,427.0,38777.0
-107361.19824644334,249131.59557324345,Comedy,TV ,7.75,981.0,141,1050027,7.84,1168.0,3286.0,6092.0
155248.22691302537,-72054.79823908261,Action,TV ,7.75,976.0,271,677518,8.29,310.0,38.0,195861.0
108535.15689170986,-691714.6779336622,Comedy,TV ,7.75,977.0,2147,85126,7.96,821.0,3549.0,5599.0
122102.03981256769,-756136.5572362129,Comedy,TV ,7.76,971.0,4650,19449,7.58,2319.0,6470.0,2897.0
81882.42967646393,-588443.2236500437,Adventure,TV ,7.75,985.0,1085,191957,7.73,1580.0,7255.0,2526.0
109060.9429599862,-400461.1274655022,Action,TV ,7.76,957.0,551,368409,7.78,1343.0,203.0,73398.0
-54057.728440871346,44601.332717216595,Drama,TV ,7.77,942.0,184,838679,8.07,614.0,1727.0,11133.0
111042.04706194825,-513669.044585796,Comedy,TV ,7.76,956.0,858,257758,7.98,779.0,312.0,49911.0
86852.82426973862,-545737.4155878598,Horror,TV ,7.77,938.0,907,232446,8.23,379.0,1177.0,15500.0
113448.43536522822,-701893.1450058889,Adventure,TV Special ,7.78,932.0,2274,74058,7.79,1336.0,2418.0,8094.0
34001.87387047592,-94849.80992766639,Drama,TV ,7.77,933.0,292,683101,8.23,385.0,216.0,69261.0
97502.37273333258,-645415.2405798242,Comedy,TV ,7.78,925.0,1490,132765,7.62,2088.0,3659.0,5427.0
-195504.0329133741,765193.9559445494,Comedy,TV ,7.78,922.0,67,1572975,7.79,1316.0,453.0,37013.0
102132.92789181745,-690724.0642431556,Adventure,Movie ,7.78,907.0,2152,87460,7.39,3761.0,9654.0,1761.0
111703.25165959996,-625139.3678310671,Comedy,TV ,7.79,906.0,1756,149188,8.25,361.0,725.0,24005.0
-9395.954646120777,-174616.51373884524,Action,Movie ,7.78,912.0,350,615451,7.88,1038.0,4743.0,4077.0
109815.15222303676,-682129.1883634436,Drama,TV ,7.79,905.0,1962,94146,8.09,596.0,2132.0,9110.0
116584.06956115425,-736763.4156090827,Adventure,TV ,7.8,886.0,3401,39532,8.08,610.0,7616.0,2380.0
