Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga
Kaguya-sama wa Kokurasetai: Ultra Romantic,"Comedy,Suspense",13.0,404,8.99,12,23 min. per ep.,TV ,Apr 2022 , Jun 2022,945499,,,,,,,,,,False
3-gatsu no Lion 2nd Season,"Drama,Slice of Life",14.0,533,8.96,22,25 min. per ep.,TV ,Oct 2017 , Mar 2018,405585,,,,,,,,,,False
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"Action,Comedy,Sci-Fi",19.0,939,8.93,1,1 hr. 50 min.,Movie ,Jul 2013 , Jul 2013,242729,,,,,,,,,,False
Gintama.,"Action,Comedy,Sci-Fi",12.0,735,8.99,12,24 min. per ep.,TV ,Jan 2017 , Mar 2017,317604,,,,,,,,,,False
Koe no Katachi,,15.0,19,8.96,1,2 hr. 10 min.,Movie ,Sep 2016 , Sep 2016,2355457,8.86,24.0,24.0,265448.0,64,"Aug  7, 2013 to Nov  19, 2014",['Shounen'],Shounen Magazine (Weekly),"Ooima, Yoshitoki (Story & Art)",True
Mo Dao Zu Shi: Wanjie Pian,"Action,Drama,Supernatural",49.0,2505,8.7,12,24 min. per ep.,ONA ,Aug 2021 , Oct 2021,81708,,,,,,,,,,False
Code Geass: Hangyaku no Lelouch,"Action,Drama,Sci-Fi",50.0,17,8.7,25,24 min. per ep.,TV ,Oct 2006 , Jul 2007,2269727,7.96,825.0,4742.0,4078.0,28,"Apr  28, 2007 to Mar  1, 2008",[],The Sneaker,"Taniguchi, Gorou (Story), Ookouchi, Ichirou (Story), Iwasa, Mamoru (Story), Kumura, Takahiro (Art)",True
Gintama,"Action,Comedy,Sci-Fi",16.0,127,8.95,201,24 min. per ep.,TV ,Apr 2006 , Mar 2010,1072687,8.63,78.0,144.0,93866.0,709,"Dec  8, 2003 to Jun  20, 2019",['Shounen'],Shounen Jump (Weekly),"Sorachi, Hideaki (Story & Art)",True
Ginga Eiyuu Densetsu,"Drama,Sci-Fi",11.0,700,9.03,110,26 min. per ep.,OVA ,Jan 1988 , Mar 1997,325595,8.59,96.0,1965.0,9716.0,94,Nov  1982 to Nov  1987,[],,"Tanaka, Yoshiki (Story), Katou, Naoyuki (Art), Kamoshita, Yukihisa (Art)",True
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action,Drama,Romance",48.0,763,8.71,4,30 min. per ep.,OVA ,Feb 1999 , Sep 1999,278343,,,,,,,,,,False
Vinland Saga,"Action,Adventure,Drama",43.0,102,8.73,24,24 min. per ep.,TV ,Jul 2019 , Dec 2019,1541813,9.06,7.0,19.0,294903.0,Unknown,"Apr  13, 2005 to ?",['Seinen'],Afternoon,"Yukimura, Makoto (Story & Art)",True
Hajime no Ippo,,42.0,376,8.74,75,23 min. per ep.,TV ,Oct 2000 , Mar 2002,602478,8.73,46.0,169.0,84138.0,Unknown,"Sep  27, 1989 to ?",['Shounen'],Shounen Magazine (Weekly),"Morikawa, George (Story & Art)",True
Fate/stay night Movie: Heaven's Feel - III. Spring Song,"Action,Fantasy,Supernatural",45.0,724,8.72,1,2 hr. 2 min.,Movie ,Aug 2020 , Aug 2020,356259,,,,,,,,,,False
Violet Evergarden Movie,"Drama,Fantasy,Slice of Life",17.0,422,8.95,1,2 hr. 20 min.,Movie ,Sep 2020 , Sep 2020,621318,,,,,,,,,,False
86 Part 2,"Action,Drama,Sci-Fi",44.0,647,8.72,12,23 min. per ep.,TV ,Oct 2021 , Mar 2022,511412,,,,,,,,,,False
Mushishi Zoku Shou 2nd Season,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural",41.0,827,8.74,10,23 min. per ep.,TV ,Oct 2014 , Dec 2014,269484,,,,,,,,,,False
Haikyuu!! To the Top Part 2,,98.0,244,8.54,12,23 min. per ep.,TV ,Oct 2020 , Dec 2020,828475,,,,,,,,,,False
Kara no Kyoukai Movie 5: Mujun Rasen,"Action,Drama,Mystery,Romance,Supernatural,Suspense",99.0,896,8.54,1,1 hr. 54 min.,Movie ,Aug 2008 , Aug 2008,240486,,,,,,,,,,False
Clannad: After Story,"Drama,Romance,Supernatural",18.0,105,8.94,24,24 min. per ep.,TV ,Oct 2008 , Mar 2009,1202073,,,,,,,,,,False
Mushishi Zoku Shou,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural",47.0,731,8.71,10,24 min. per ep.,TV ,Apr 2014 , Jun 2014,303060,,,,,,,,,,False
Zoku Natsume Yuujinchou,"Drama,Slice of Life,Supernatural",94.0,857,8.55,13,24 min. per ep.,TV ,Jan 2009 , Mar 2009,250037,,,,,,,,,,False
Ashita no Joe 2,"Action,Drama,Slice of Life,Sports",46.0,2917,8.71,47,24 min. per ep.,TV ,Oct 1980 , Aug 1981,53500,,,,,,,,,,False
Sora yori mo Tooi Basho,"Adventure,Comedy,Drama",95.0,416,8.54,13,23 min. per ep.,TV ,Jan 2018 , Mar 2018,509120,7.29,4883.0,5169.0,3721.0,17,"Dec  27, 2017 to Feb  27, 2019",['Seinen'],Comic Alive,"Yoimachi, Meme (Art)",True
Yakusoku no Neverland,"Mystery,Sci-Fi,Suspense",96.0,39,8.54,12,22 min. per ep.,TV ,Jan 2019 , Mar 2019,1985378,8.16,475.0,17.0,304609.0,181,"Aug  1, 2016 to Jun  15, 2020",['Shounen'],Shounen Jump (Weekly),"Demizu, Posuka (Art), Shirai, Kaiu (Story)",True
Koukaku Kidoutai: Stand Alone Complex,"Action,Sci-Fi",148.0,504,8.43,26,25 min. per ep.,TV ,Oct 2002 , Oct 2003,399807,7.77,1393.0,7344.0,2493.0,45,"Jan  21, 2004 to Feb  4, 2005",[],,"Fujisaku, Junichi (Story)",True
Code Geass: Hangyaku no Lelouch R2,"Action,Drama,Sci-Fi",20.0,47,8.91,25,24 min. per ep.,TV ,Apr 2008 , Sep 2008,1796432,7.58,2340.0,13812.0,1074.0,27,"May  31, 2008 to Feb  28, 2009",[],,"Taniguchi, Gorou (Story), Ookouchi, Ichirou (Story), Iwasa, Mamoru (Story), toi8 (Art)",True
Major S6,"Comedy,Drama,Sports",199.0,2452,8.34,25,24 min. per ep.,TV ,Apr 2010 , Sep 2010,63490,,,,,,,,,,False
Mononoke,"Fantasy,Horror,Mystery,Supernatural",149.0,710,8.43,12,22 min. per ep.,TV ,Jul 2007 , Sep 2007,332149,7.68,1765.0,2475.0,7940.0,19,"Aug  17, 2007 to Aug  1, 2008",['Seinen'],Young Gangan,"Ninagawa, Yaeko (Art)",True
Kiseijuu: Sei no Kakuritsu,"Action,Horror,Sci-Fi",196.0,41,8.35,24,23 min. per ep.,TV ,Oct 2014 , Mar 2015,1887488,,,,,,,,,,False
Made in Abyss Movie 2: Hourou Suru Tasogare,"Adventure,Drama,Fantasy,Mystery,Sci-Fi",197.0,1825,8.35,1,1 hr. 45 min.,Movie ,Jan 2019 , Jan 2019,140890,,,,,,,,,,False
Yuru Camp△ Season 2,"Comedy,Slice of Life",97.0,1073,8.54,13,23 min. per ep.,TV ,Jan 2021 , Apr 2021,228600,,,,,,,,,,False
Psycho-Pass,"Action,Sci-Fi,Suspense",198.0,55,8.35,22,23 min. per ep.,TV ,Oct 2012 , Mar 2013,1644298,7.66,1858.0,8044.0,2226.0,Unknown,"Feb  4, 2013 to Apr  4, 2013",[],,"Fukami, Makoto (Story)",True
Given,"Boys Love,Drama,Romance,Slice of Life",195.0,387,8.35,11,22 min. per ep.,TV ,Jul 2019 , Sep 2019,577772,8.53,119.0,260.0,59618.0,58,"Apr  30, 2013 to Mar  30, 2023",[],Cheri+,"Kizu, Natsuki (Story & Art)",True
Gintama: Shiroyasha Koutan,"Action,Comedy,Sci-Fi",194.0,2325,8.35,1,10 min.,Special ,Sep 2008 , Sep 2008,70822,,,,,,,,,,False
Mahou Shoujo Madoka★Magica,"Drama,Suspense",193.0,90,8.36,12,24 min. per ep.,TV ,Jan 2011 , Apr 2011,1300264,8.08,613.0,428.0,38754.0,12,"Feb  12, 2011 to May  30, 2011",[],,"Magica Quartet (Story), Hanokage (Art)",True
Hellsing Ultimate,"Action,Horror,Supernatural",191.0,165,8.36,10,49 min. per ep.,OVA ,Feb 2006 , Dec 2012,939042,,,,,,,,,,False
Haikyuu!! To the Top,,190.0,182,8.36,13,24 min. per ep.,TV ,Jan 2020 , Apr 2020,950418,,,,,,,,,,False
