Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga
Code Geass: Hangyaku no Lelouch,"Action,Drama,Sci-Fi",50,17,8.7,25,24 min. per ep.,TV ,Oct 2006 , Jul 2007,2269727,7.96,825.0,4742.0,4078.0,28,"Apr  28, 2007 to Mar  1, 2008",[],The Sneaker,"Taniguchi, Gorou (Story), Ookouchi, Ichirou (Story), Iwasa, Mamoru (Story), Kumura, Takahiro (Art)",True
Gintama,"Action,Comedy,Sci-Fi",16,127,8.95,201,24 min. per ep.,TV ,Apr 2006 , Mar 2010,1072687,8.63,78.0,144.0,93866.0,709,"Dec  8, 2003 to Jun  20, 2019",['Shounen'],Shounen Jump (Weekly),"Sorachi, Hideaki (Story & Art)",True
Ginga Eiyuu Densetsu,"Drama,Sci-Fi",11,700,9.03,110,26 min. per ep.,OVA ,Jan 1988 , Mar 1997,325595,8.59,96.0,1965.0,9716.0,94,Nov  1982 to Nov  1987,[],,"Tanaka, Yoshiki (Story), Katou, Naoyuki (Art), Kamoshita, Yukihisa (Art)",True
Vinland Saga,"Action,Adventure,Drama",43,102,8.73,24,24 min. per ep.,TV ,Jul 2019 , Dec 2019,1541813,9.06,7.0,19.0,294903.0,Unknown,"Apr  13, 2005 to ?",['Seinen'],Afternoon,"Yukimura, Makoto (Story & Art)",True
Sora yori mo Tooi Basho,"Adventure,Comedy,Drama",95,416,8.54,13,23 min. per ep.,TV ,Jan 2018 , Mar 2018,509120,7.29,4883.0,5169.0,3721.0,17,"Dec  27, 2017 to Feb  27, 2019",['Seinen'],Comic Alive,"Yoimachi, Meme (Art)",True
Yakusoku no Neverland,"Mystery,Sci-Fi,Suspense",96,39,8.54,12,22 min. per ep.,TV ,Jan 2019 , Mar 2019,1985378,8.16,475.0,17.0,304609.0,181,"Aug  1, 2016 to Jun  15, 2020",['Shounen'],Shounen Jump (Weekly),"Demizu, Posuka (Art), Shirai, Kaiu (Story)",True
Koukaku Kidoutai: Stand Alone Complex,"Action,Sci-Fi",148,504,8.43,26,25 min. per ep.,TV ,Oct 2002 , Oct 2003,399807,7.77,1393.0,7344.0,2493.0,45,"Jan  21, 2004 to Feb  4, 2005",[],,"Fujisaku, Junichi (Story)",True
Code Geass: Hangyaku no Lelouch R2,"Action,Drama,Sci-Fi",20,47,8.91,25,24 min. per ep.,TV ,Apr 2008 , Sep 2008,1796432,7.58,2340.0,13812.0,1074.0,27,"May  31, 2008 to Feb  28, 2009",[],,"Taniguchi, Gorou (Story), Ookouchi, Ichirou (Story), Iwasa, Mamoru (Story), toi8 (Art)",True
Mononoke,"Fantasy,Horror,Mystery,Supernatural",149,710,8.43,12,22 min. per ep.,TV ,Jul 2007 , Sep 2007,332149,7.68,1765.0,2475.0,7940.0,19,"Aug  17, 2007 to Aug  1, 2008",['Seinen'],Young Gangan,"Ninagawa, Yaeko (Art)",True
Psycho-Pass,"Action,Sci-Fi,Suspense",198,55,8.35,22,23 min. per ep.,TV ,Oct 2012 , Mar 2013,1644298,7.66,1858.0,8044.0,2226.0,Unknown,"Feb  4, 2013 to Apr  4, 2013",[],,"Fukami, Makoto (Story)",True
