Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga,Genre_1,Genre_2,Genre_3,Anime_StartDate,Anime_EndDate,Manga_StartDate,Manga_EndDate
Code Geass: Hangyaku no Lelouch,"Action,Drama,Sci-Fi",50,17,8.7,25,24 min. per ep.,TV ,2269727,7.96,825.0,4742.0,4078.0,28,"Apr  28, 2007 to Mar  1, 2008",[],The Sneaker,"Taniguchi, Gorou (Story), Ookouchi, Ichirou (Story), Iwasa, Mamoru (Story), Kumura, Takahiro (Art)",True,Action,Drama,Sci-Fi,2006-10-01,2007-07-01,2007-04-28,2008-03-01
Gintama,"Action,Comedy,Sci-Fi",16,127,8.95,201,24 min. per ep.,TV ,1072687,8.63,78.0,144.0,93866.0,709,"Dec  8, 2003 to Jun  20, 2019",['Shounen'],Shounen Jump (Weekly),"Sorachi, Hideaki (Story & Art)",True,Action,Comedy,Sci-Fi,2006-04-01,2010-03-01,2003-12-08,2019-06-20
Ginga Eiyuu Densetsu,"Drama,Sci-Fi",11,700,9.03,110,26 min. per ep.,OVA ,325595,8.59,96.0,1965.0,9716.0,94,Nov  1982 to Nov  1987,[],,"Tanaka, Yoshiki (Story), Katou, Naoyuki (Art), Kamoshita, Yukihisa (Art)",True,Drama,Sci-Fi,,1988-01-01,1997-03-01,1982-11-01,1987-11-01
Vinland Saga,"Action,Adventure,Drama",43,102,8.73,24,24 min. per ep.,TV ,1541813,9.06,7.0,19.0,294903.0,Unknown,"Apr  13, 2005 to ?",['Seinen'],Afternoon,"Yukimura, Makoto (Story & Art)",True,Action,Adventure,Drama,2019-07-01,2019-12-01,2005-04-13,Ongoing or Hiatus
Sora yori mo Tooi Basho,"Adventure,Comedy,Drama",95,416,8.54,13,23 min. per ep.,TV ,509120,7.29,4883.0,5169.0,3721.0,17,"Dec  27, 2017 to Feb  27, 2019",['Seinen'],Comic Alive,"Yoimachi, Meme (Art)",True,Adventure,Comedy,Drama,2018-01-01,2018-03-01,2017-12-27,2019-02-27
Yakusoku no Neverland,"Mystery,Sci-Fi,Suspense",96,39,8.54,12,22 min. per ep.,TV ,1985378,8.16,475.0,17.0,304609.0,181,"Aug  1, 2016 to Jun  15, 2020",['Shounen'],Shounen Jump (Weekly),"Demizu, Posuka (Art), Shirai, Kaiu (Story)",True,Mystery,Sci-Fi,Suspense,2019-01-01,2019-03-01,2016-08-01,2020-06-15
Koukaku Kidoutai: Stand Alone Complex,"Action,Sci-Fi",148,504,8.43,26,25 min. per ep.,TV ,399807,7.77,1393.0,7344.0,2493.0,45,"Jan  21, 2004 to Feb  4, 2005",[],,"Fujisaku, Junichi (Story)",True,Action,Sci-Fi,,2002-10-01,2003-10-01,2004-01-21,2005-02-04
Code Geass: Hangyaku no Lelouch R2,"Action,Drama,Sci-Fi",20,47,8.91,25,24 min. per ep.,TV ,1796432,7.58,2340.0,13812.0,1074.0,27,"May  31, 2008 to Feb  28, 2009",[],,"Taniguchi, Gorou (Story), Ookouchi, Ichirou (Story), Iwasa, Mamoru (Story), toi8 (Art)",True,Action,Drama,Sci-Fi,2008-04-01,2008-09-01,2008-05-31,2009-02-28
Mononoke,"Fantasy,Horror,Mystery,Supernatural",149,710,8.43,12,22 min. per ep.,TV ,332149,7.68,1765.0,2475.0,7940.0,19,"Aug  17, 2007 to Aug  1, 2008",['Seinen'],Young Gangan,"Ninagawa, Yaeko (Art)",True,Fantasy,Horror,Mystery,2007-07-01,2007-09-01,2007-08-17,2008-08-01
Psycho-Pass,"Action,Sci-Fi,Suspense",198,55,8.35,22,23 min. per ep.,TV ,1644298,7.66,1858.0,8044.0,2226.0,Unknown,"Feb  4, 2013 to Apr  4, 2013",[],,"Fukami, Makoto (Story)",True,Action,Sci-Fi,Suspense,2012-10-01,2013-03-01,2013-02-04,2013-04-04
Given,"Boys Love,Drama,Romance,Slice of Life",195,387,8.35,11,22 min. per ep.,TV ,577772,8.53,119.0,260.0,59618.0,58,"Apr  30, 2013 to Mar  30, 2023",[],Cheri+,"Kizu, Natsuki (Story & Art)",True,Boys Love,Drama,Romance,2019-07-01,2019-09-01,2013-04-30,2023-03-30
Mahou Shoujo Madoka★Magica,"Drama,Suspense",193,90,8.36,12,24 min. per ep.,TV ,1300264,8.08,613.0,428.0,38754.0,12,"Feb  12, 2011 to May  30, 2011",[],,"Magica Quartet (Story), Hanokage (Art)",True,Drama,Suspense,,2011-01-01,2011-04-01,2011-02-12,2011-05-30
Saiki Kusuo no Ψ-nan,"Comedy,Supernatural",150,138,8.43,120,5 min. per ep.,TV ,1116165,8.3,305.0,528.0,32046.0,290,"May  14, 2012 to Jul  26, 2018",['Shounen'],Shounen Jump (Weekly),"Asou, Shuuichi (Story & Art)",True,Comedy,Supernatural,,2016-07-01,2016-12-01,2012-05-14,2018-07-26
Kaze no Tani no Nausicaä,"Adventure,Fantasy",187,575,8.37,1,1 hr. 57 min.,Movie ,381629,8.82,30.0,277.0,57071.0,59,"Oct  9, 1982 to Feb  10, 1994",[],Animage,"Miyazaki, Hayao (Story & Art)",True,Adventure,Fantasy,,1984-03-01,1984-03-01,1982-10-09,1994-02-10
