Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Supernatural,Sci-Fi,Mystery,Ecchi,Horror,Sports,Girls Love,Suspense,Boys Love,Gourmet,Avant Garde
1965-05,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1966-12,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1968-04,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1969-09,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1970-03,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971-09,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1971-11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1972-03,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1972-09,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1973-04,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1973-09,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0
1975-05,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1976-03,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1978-03,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1979-02,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1979-03,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1979-12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1980-04,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1980-09,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981-03,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
1981-04,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1982-06,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1982-12,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1983-05,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
1983-09,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-02,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-03,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
1984-06,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-09,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985-07,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1985-12,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1986-03,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1986-06,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-08,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1986-09,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1986-10,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1986-11,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-12,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1987-03,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1987-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1988-03,4,1,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1988-04,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1988-07,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1988-11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1989-03,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1989-04,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0
1989-06,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1989-10,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1991-05,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1991-07,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1991-09,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1991-11,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1992-03,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
1992-05,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1992-09,4,1,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0
1993-03,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-05,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-06,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1993-08,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1993-12,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-03,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
1994-05,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994-08,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1994-09,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1994-11,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1995-01,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995-02,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-03,2,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0
1995-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
