Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Supernatural,Sci-Fi,Mystery,Ecchi,Horror,Sports,Girls Love,Suspense,Boys Love,Gourmet,Avant Garde
1963-01,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1963-10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1967-04,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1968-10,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1969-09,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969-10,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1969-12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1970-04,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1971-10,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1972-04,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1972-07,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1973-01,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
1973-04,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1974-04,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1975-05,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1976-10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1977-09,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1978-03,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1978-06,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1978-09,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1979-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1979-10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-04,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1980-07,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1981-03,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1981-09,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1981-10,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1982-04,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1982-10,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1983-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983-04,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1983-05,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1983-07,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1983-10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1984-02,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-03,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1984-04,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-10,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1985-02,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1985-03,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1985-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985-12,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1986-02,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-03,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-04,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-05,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1986-08,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-10,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1986-11,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-12,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1987-03,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1987-04,3,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
1988-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1988-02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-03,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1988-04,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
1988-07,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
1988-10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1989-03,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1989-04,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1989-10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1990-06,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1990-11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1991-04,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-05,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1991-07,0,1,1,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0
1991-08,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1991-10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1991-11,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-04,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1992-08,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1992-09,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1992-10,3,2,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0
1993-02,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1993-03,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-06,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1993-09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-11,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1993-12,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
1994-01,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1994-03,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-04,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0
1994-08,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1994-09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-10,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1994-12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-04,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1995-06,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1995-07,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1995-09,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-10,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0
1995-12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-01,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996-04,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1996-05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1996-06,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1996-07,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1996-09,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-10,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1996-12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-01,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1997-04,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-07,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1997-11,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1998-04,5,5,4,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0
1998-05,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1998-06,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1998-09,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1998-10,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1999-01,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1999-02,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1999-03,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
1999-04,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1999-08,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
