Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Sci-Fi,Supernatural,Mystery,Ecchi,Horror,Sports,Suspense,Girls Love,Gourmet,Boys Love,Avant Garde
1966-05,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1966-09,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1968-01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1968-03,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1968-07,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1971-01,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1971-11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1971-12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1972-03,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1972-04,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1973-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-02,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-05,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1973-06,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1973-11,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
1974-08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1975-05,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1975-10,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1977-01,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1979-01,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1979-02,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1979-03,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1979-06,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1980-04,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1981-01,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1982-10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1982-11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983-01,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
1983-10,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1983-12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-01,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-03,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1984-08,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1985-01,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1985-11,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1986-01,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-07,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-11,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1986-12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-01,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1987-02,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1987-04,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-06,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-09,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1988-02,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1988-04,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1988-07,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1988-12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1989-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1989-03,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1989-10,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1990-04,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1990-06,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1990-09,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1990-11,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1991-01,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-08,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1992-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-04,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1993-01,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1993-03,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1993-12,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
