Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Supernatural,Sci-Fi,Mystery,Ecchi,Horror,Sports,Girls Love,Suspense,Boys Love,Gourmet,Avant Garde
1951-04,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1956-07,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962-12,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1964-01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1966-01,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1966-12,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1967-07,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1967-08,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1968-01,0,2,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
1968-11,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1969-09,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1969-12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1971-07,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
1972-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-06,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1973-01,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
1973-11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1974-02,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1974-04,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1975-01,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1975-03,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1975-08,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1975-12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976-01,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1976-09,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1976-11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1976-12,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1977-01,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
1978-01,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1978-03,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1978-08,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1979-01,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1979-05,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1979-09,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1979-10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1979-11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1979-12,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1980-01,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1980-07,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1980-10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981-03,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1981-04,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981-06,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
